Open,High,Low,Close,Adj Close,Volume
168.49,169.85,167.88,169.68,169.68,55209200
165.19,168.56,165.19,168.41,168.41,64902300
163.06,165.28,162.80,163.76,163.76,45498800
165.19,166.31,163.73,163.77,163.77,48714100
165.00,165.60,163.89,165.33,165.33,41949600
165.05,166.45,164.49,165.02,165.02,58311900
166.09,167.87,165.56,166.65,166.65,52456400
165.80,168.16,165.54,167.63,167.63,47720200
166.10,167.41,165.65,166.47,166.47,49923000
165.09,165.39,164.03,165.23,165.23,41516200
164.59,166.32,163.82,165.21,165.21,49337200
161.63,165.80,161.42,165.56,165.56,68445600
161.22,162.06,159.78,160.10,160.10,50133100
162.35,162.36,160.51,160.80,160.80,47644200
161.42,162.03,160.08,162.03,162.03,47716900
162.43,164.96,162.00,164.66,164.66,45390100
164.74,165.05,161.80,163.76,163.76,51511700
166.60,166.84,165.11,165.63,165.63,46278300
164.27,166.29,164.22,166.17,166.17,56976200
162.44,165.00,161.91,164.90,164.90,68694700
161.53,162.47,161.27,162.36,162.36,49501700
159.37,161.05,159.35,160.77,160.77,51305700
157.97,158.49,155.98,157.65,157.65,45992200
159.94,160.77,157.87,158.28,158.28,52390300
158.86,160.34,157.85,160.25,160.25,59196500
158.83,161.55,157.68,158.93,158.93,67622100
159.30,162.14,157.81,157.83,157.83,75701800
157.32,159.40,156.54,159.28,159.28,73938300
155.07,157.82,154.15,157.40,157.40,73641400
156.08,156.74,154.28,155.00,155.00,98944600
152.16,156.46,151.64,155.85,155.85,76161100
151.19,153.25,149.92,152.99,152.99,77167900
151.28,153.40,150.10,152.59,152.59,73695900
147.81,153.14,147.70,150.47,150.47,84457100
150.21,150.94,147.61,148.50,148.50,68572400
153.56,154.54,150.23,150.59,150.59,53833600
152.81,153.47,151.83,152.87,152.87,47204800
153.70,154.03,151.13,151.60,151.60,56182000
153.79,156.30,153.46,153.83,153.83,87558000
148.04,151.11,147.33,151.03,151.03,70732300
144.38,146.71,143.90,145.91,145.91,52238100
146.83,147.23,145.01,145.31,145.31,55479000
147.05,149.08,146.83,147.41,147.41,50547000
147.71,149.17,147.45,147.92,147.92,44998500
147.11,147.19,145.72,146.71,146.71,55469600
150.09,150.34,147.24,149.40,149.40,48394200
148.87,149.95,147.16,148.91,148.91,51011300
150.20,151.30,148.41,148.48,148.48,58867200
152.35,153.00,150.85,152.55,152.55,59144100
153.51,156.33,153.35,153.71,153.71,68167900
153.11,155.50,152.88,155.33,155.33,65573800
152.12,153.77,150.86,153.20,153.20,61707600
150.95,154.26,150.92,153.85,153.85,62199000
149.46,151.34,149.22,151.01,151.01,57450700
153.78,154.33,150.42,150.87,150.64,56007100
153.88,154.58,151.17,151.92,151.69,64120100
150.64,155.23,150.64,154.65,154.41,83322600
152.57,153.10,150.78,151.73,151.50,69858300
148.03,157.38,147.83,154.50,154.26,154357300
148.90,151.18,148.17,150.82,150.59,118339000
143.97,146.61,141.32,145.43,145.21,77663600
142.70,144.34,142.28,144.29,144.07,65874500
144.96,145.55,142.85,143.00,142.78,64015300
143.16,147.23,143.08,145.93,145.71,70555800
143.17,144.25,141.90,143.96,143.74,54105100
140.89,142.43,138.81,141.86,141.64,65799300
140.31,143.16,140.30,142.53,142.31,66435100
138.12,143.32,137.90,141.11,140.89,81760300
135.28,138.02,134.22,137.87,137.66,80223600
134.08,136.25,133.77,135.27,135.06,58280400
136.82,138.61,135.03,135.21,135.00,69672800
134.83,137.29,134.13,135.94,135.73,63646600
132.03,134.92,131.66,134.76,134.55,57809700
133.88,134.26,131.44,133.41,133.21,71379600
131.25,133.51,130.46,133.49,133.29,69458900
130.26,131.26,128.12,130.73,130.53,63896200
130.47,133.41,129.89,130.15,129.95,70790800
126.01,130.29,124.89,129.62,129.42,87754700
127.13,127.77,124.76,125.02,124.83,80962700
126.89,128.66,125.08,126.36,126.17,89113600
130.28,130.90,124.17,125.07,124.88,112117500
128.41,129.95,127.43,129.93,129.73,77034200
127.99,130.48,127.73,129.61,129.41,75703700
129.67,131.03,125.87,126.04,125.85,85438400
131.38,131.41,128.72,130.03,129.83,69007800
130.92,132.42,129.64,131.86,131.66,63814900
134.35,134.56,130.30,132.23,132.03,77852100
132.98,136.81,132.75,135.45,135.24,85928000
131.39,133.25,129.89,132.30,132.10,77432800
135.11,135.20,131.32,132.37,132.17,79592600
136.69,137.65,133.73,134.51,134.30,160156900
141.11,141.80,136.03,136.50,136.29,98931900
145.35,146.66,141.16,143.21,142.99,82291200
149.50,149.97,144.24,145.47,145.25,93886200
142.70,144.50,141.06,144.49,144.27,70462700
142.34,145.57,140.90,142.16,141.94,76097000
142.36,143.52,141.10,142.65,142.43,62128300
142.19,143.37,140.00,140.94,140.73,69721100
147.07,147.30,141.92,142.91,142.69,64727200
147.77,150.92,145.77,146.63,146.41,68826400
145.96,148.00,145.65,147.81,147.58,65447400
148.21,149.13,146.61,148.31,148.08,71250400
141.40,148.72,140.55,148.03,147.80,111380900
144.29,144.81,140.35,141.17,140.95,83763800
145.14,146.64,143.38,144.22,144.00,69246000
148.31,148.88,147.12,148.11,147.88,35195900
149.45,151.83,149.34,151.07,150.84,58301400
148.13,150.42,146.93,150.18,149.95,51804100
150.16,150.37,147.72,148.01,147.78,58724100
152.31,152.70,149.97,151.29,151.06,74829600
146.43,151.48,146.15,150.72,150.49,80389400
149.13,149.87,147.29,148.79,148.56,64218300
152.22,153.59,148.56,150.04,149.81,89868300
148.97,150.28,147.43,148.28,148.05,73374100
145.82,150.01,144.37,149.70,149.47,93979700
141.24,146.87,139.50,146.87,146.65,118854000
138.50,138.55,134.59,134.87,134.66,74917800
140.41,141.43,137.49,139.50,139.29,89908500
137.11,139.15,135.67,138.92,138.71,83374600
142.09,142.67,134.38,138.38,138.17,140814800
142.06,142.80,138.75,138.88,138.44,97918500
148.95,152.17,145.00,145.03,144.57,93604600
155.08,155.45,149.13,150.65,150.17,80379300
153.16,154.24,151.92,153.34,152.85,97943200
148.20,157.50,147.82,155.74,155.25,164762400
148.07,149.05,144.13,144.80,144.34,109180200
150.96,151.99,148.04,149.35,148.88,88194300
150.09,152.49,149.36,152.34,151.86,74732300
147.19,150.23,146.00,149.45,148.98,75981900
142.87,147.85,142.65,147.27,146.80,86548600
143.02,145.89,142.65,143.39,142.93,64522000
141.69,144.95,141.50,143.86,143.40,61758300
145.49,146.70,140.61,143.75,143.29,99136600
